"","Subject","trialNum","adaptor","exposureLength","response","soundfile","keyResp","keyRT","Time"
"171","ABCD_1703",3,"b",70,"d","a_bd18_CV.wav","m",0.703860998154,273.627759933
"172","ABCD_1703",4,"d",70,"b","a_bd06_CV.wav","z",1.22630596161,314.378033876
"173","ABCD_1703",4,"d",70,"d","a_bd14_CV.wav","m",0.807782888412,315.386180878
"174","ABCD_1703",4,"d",70,"d","a_bd12_CV.wav","m",0.91972899437,316.506238937
"175","ABCD_1703",4,"d",70,"b","a_bd04_CV.wav","z",0.855703115463,317.562291861
"176","ABCD_1703",4,"d",70,"d","a_bd18_CV.wav","m",0.759241819382,318.521884918
"177","ABCD_1703",4,"d",70,"b","a_bd08_CV.wav","z",1.19168305397,319.913923025
"178","ABCD_1703",4,"d",70,"d","a_bd10_CV.wav","m",0.70356297493,320.817873001
"179","ABCD_1703",4,"d",70,"b","a_bd16_CV.wav","z",0.55165886879,321.56990695
"180","ABCD_1703",4,"d",70,"b","a_bd02_CV.wav","z",0.871870040894,322.642126083
"181","ABCD_1703",5,"b",70,"d","a_bd16_CV.wav","m",1.21717786789,363.206024885
"182","ABCD_1703",5,"b",70,"d","a_bd18_CV.wav","m",0.58308506012,363.989912987
"183","ABCD_1703",5,"b",70,"d","a_bd10_CV.wav","m",0.791726112366,364.981987
"184","ABCD_1703",5,"b",70,"b","a_bd04_CV.wav","z",1.06375980377,366.246082067
"185","ABCD_1703",5,"b",70,"d","a_bd08_CV.wav","m",1.01535201073,367.46179986
"186","ABCD_1703",5,"b",70,"d","a_bd14_CV.wav","m",0.903630971909,368.565798998
"187","ABCD_1703",5,"b",70,"b","a_bd12_CV.wav","z",0.879910945892,369.646085978
"188","ABCD_1703",5,"b",70,"b","a_bd06_CV.wav","z",1.43939495087,371.285856962
"189","ABCD_1703",5,"b",70,"d","a_bd02_CV.wav","m",1.30351901054,372.789732933
"190","ABCD_1703",6,"d",70,"b","a_bd06_CV.wav","z",1.43753790855,413.46696806
"191","ABCD_1703",6,"d",70,"b","a_bd08_CV.wav","z",0.895821094513,414.563131094
"192","ABCD_1703",6,"d",70,"d","a_bd16_CV.wav","m",0.551478147507,415.314990044
"193","ABCD_1703",6,"d",70,"d","a_bd14_CV.wav","m",0.639701128006,416.155085087
"194","ABCD_1703",6,"d",70,"b","a_bd02_CV.wav","z",0.687535047531,417.042973995
"195","ABCD_1703",6,"d",70,"d","a_bd10_CV.wav","m",1.11957907677,418.362895012
"196","ABCD_1703",6,"d",70,"d","a_bd12_CV.wav","m",0.975638866425,419.538901091
"197","ABCD_1703",6,"d",70,"b","a_bd04_CV.wav","z",2.28753995895,422.026818037
"198","ABCD_1703",6,"d",70,"d","a_bd18_CV.wav","m",0.807939052582,423.035108089
"199","ABCD_1703",7,"b",70,"d","a_bd18_CV.wav","m",0.873389005661,463.326868057
"200","ABCD_1703",7,"b",70,"d","a_bd10_CV.wav","m",0.727858066559,464.255110025
"201","ABCD_1703",7,"b",70,"b","a_bd04_CV.wav","z",0.599520921707,465.054991007
"202","ABCD_1703",7,"b",70,"d","a_bd06_CV.wav","m",1.02335906029,466.278718948
"203","ABCD_1703",7,"b",70,"d","a_bd12_CV.wav","m",0.607855081558,467.086961985
"204","ABCD_1703",7,"b",70,"b","a_bd02_CV.wav","z",0.639461994171,467.926769018
"205","ABCD_1703",7,"b",70,"b","a_bd08_CV.wav","z",0.671688079834,468.798794031
"206","ABCD_1703",7,"b",70,"d","a_bd16_CV.wav","m",0.855463027954,469.854628086
"207","ABCD_1703",7,"b",70,"d","a_bd14_CV.wav","m",0.49568605423,470.550649881
"208","ABCD_1703",8,"d",70,"d","a_bd12_CV.wav","m",1.32464194298,511.613070011
"209","ABCD_1703",8,"d",70,"d","a_bd14_CV.wav","m",0.719342947006,512.533160925
"210","ABCD_1703",8,"d",70,"b","a_bd08_CV.wav","z",0.607580184937,513.341124058
"211","ABCD_1703",8,"d",70,"b","a_bd02_CV.wav","z",0.775653839111,514.31714797
"212","ABCD_1703",8,"d",70,"d","a_bd18_CV.wav","m",1.711591959,516.229083061
"213","ABCD_1703",8,"d",70,"d","a_bd16_CV.wav","m",0.847702980042,517.277168036
"214","ABCD_1703",8,"d",70,"d","a_bd10_CV.wav","m",1.20755290985,518.685071945
"215","ABCD_1703",8,"d",70,"d","a_bd06_CV.wav","m",1.10356497765,519.98900795
"216","ABCD_1703",8,"d",70,"d","a_bd04_CV.wav","m",1.04753112793,521.236891031
"217","ABCD_1704",1,"b",70,"b","a_bd02_CV.wav","z",0.811999082565,196.226607084
"218","ABCD_1704",1,"b",70,"b","a_bd04_CV.wav","z",0.63156914711,197.058534145
"219","ABCD_1704",1,"b",70,"d","a_bd14_CV.wav","m",0.607791185379,197.866657972
"220","ABCD_1704",1,"b",70,"b","a_bd06_CV.wav","z",0.671537160873,198.7385602
"221","ABCD_1704",1,"b",70,"d","a_bd10_CV.wav","m",0.807601928711,199.746489048
"222","ABCD_1704",1,"b",70,"d","a_bd12_CV.wav","m",0.647629022598,200.594485044
"223","ABCD_1704",1,"b",70,"b","a_bd08_CV.wav","z",0.67152094841,201.466380119
"224","ABCD_1704",1,"b",70,"d","a_bd16_CV.wav","m",1.01566004753,202.682394028
"225","ABCD_1704",1,"b",70,"d","a_bd18_CV.wav","m",0.711657047272,203.594406128
"226","ABCD_1704",2,"d",70,"d","a_bd16_CV.wav","m",0.893177032471,244.009189129
"227","ABCD_1704",2,"d",70,"d","a_bd12_CV.wav","m",0.607627153397,244.817174196
"228","ABCD_1704",2,"d",70,"b","a_bd08_CV.wav","z",0.879528045654,245.897066116
"229","ABCD_1704",2,"d",70,"b","a_bd06_CV.wav","z",0.615880012512,246.71333313
"230","ABCD_1704",2,"d",70,"b","a_bd10_CV.wav","z",0.839338064194,247.753038168
"231","ABCD_1704",2,"d",70,"b","a_bd02_CV.wav","z",0.671637058258,248.625019073
"232","ABCD_1704",2,"d",70,"d","a_bd18_CV.wav","m",0.60763001442,249.433011055
"233","ABCD_1704",2,"d",70,"b","a_bd04_CV.wav","z",0.679574012756,250.312952042
"234","ABCD_1704",2,"d",70,"d","a_bd14_CV.wav","m",0.599620103836,251.112900972
"235","ABCD_1704",3,"d",70,"b","a_bd02_CV.wav","z",0.84179186821,291.575634003
"236","ABCD_1704",3,"d",70,"d","a_bd16_CV.wav","m",0.631682157516,292.407692194
"237","ABCD_1704",3,"d",70,"d","a_bd18_CV.wav","m",0.679638147354,293.287675142
"238","ABCD_1704",3,"d",70,"b","a_bd06_CV.wav","z",0.535528898239,294.023554087
"239","ABCD_1704",3,"d",70,"d","a_bd12_CV.wav","m",0.623718976974,294.847617149
"240","ABCD_1704",3,"d",70,"b","a_bd08_CV.wav","z",0.903732776642,295.951709986
"241","ABCD_1704",3,"d",70,"d","a_bd14_CV.wav","m",0.711573839188,296.863661051
"242","ABCD_1704",3,"d",70,"b","a_bd04_CV.wav","z",0.767451047897,297.831456184
"243","ABCD_1704",3,"d",70,"d","a_bd10_CV.wav","m",0.615710020065,298.647544146
"244","ABCD_1704",4,"b",70,"d","a_bd12_CV.wav","m",0.859026908875,339.110517979
"245","ABCD_1704",4,"b",70,"d","a_bd16_CV.wav","m",0.631569862366,339.942440033
"246","ABCD_1704",4,"b",70,"d","a_bd14_CV.wav","m",0.767601013184,340.9104352
"247","ABCD_1704",4,"b",70,"b","a_bd06_CV.wav","z",0.90332198143,342.01435113
"248","ABCD_1704",4,"b",70,"b","a_bd08_CV.wav","z",0.831758022308,343.04648304
"249","ABCD_1704",4,"b",70,"b","a_bd02_CV.wav","z",0.687400817871,343.934262991
"250","ABCD_1704",4,"b",70,"b","a_bd04_CV.wav","z",0.599837064743,344.734533072
"251","ABCD_1704",4,"b",70,"d","a_bd10_CV.wav","m",0.703539133072,345.638404131
"252","ABCD_1704",4,"b",70,"d","a_bd18_CV.wav","m",0.63147687912,346.470340014
"253","ABCD_1704",5,"d",70,"b","a_bd02_CV.wav","z",0.956645965576,387.028146029
"254","ABCD_1704",5,"d",70,"d","a_bd14_CV.wav","m",0.695487976074,387.924062014
"255","ABCD_1704",5,"d",70,"b","a_bd06_CV.wav","z",0.719922065735,388.844345093
"256","ABCD_1704",5,"d",70,"d","a_bd16_CV.wav","m",0.671396017075,389.716104031
"257","ABCD_1704",5,"d",70,"d","a_bd18_CV.wav","m",0.799606084824,390.716104031
"258","ABCD_1704",5,"d",70,"b","a_bd10_CV.wav","z",0.999483108521,391.915989161
"259","ABCD_1704",5,"d",70,"d","a_bd12_CV.wav","m",0.751713037491,392.868057013
"260","ABCD_1704",5,"d",70,"b","a_bd08_CV.wav","z",0.815577030182,393.88402319
"261","ABCD_1704",5,"d",70,"b","a_bd04_CV.wav","z",0.655431985855,394.739956141
"262","ABCD_1704",6,"b",70,"d","a_bd06_CV.wav","m",1.25663900375,435.562578201
"263","ABCD_1704",6,"b",70,"d","a_bd18_CV.wav","m",0.639707803726,436.402654171
