"","PartID","NS","S","m_fd","se","ntd","b","d","mean_diff","diff_8"
"63","ABCD_1774",36.9921875,10.0601308242143,96.2567750307224,13.8873578626401,-0.572385328395726,0.0566326517149619,0,0.194444444444444,0
"64","ABCD_1775",NA,NA,NA,NA,NA,0.0280287236002435,0.0288761277362291,0.194444444444444,0.75
"65","ABCD_1776",37.6866455078125,14.6108848170053,94.7872048557361,11.7647809538153,-0.441239969602478,NA,NA,NA,NA
"66","ABCD_1777",48.8157894736842,12.8519218846316,92.3707310204346,12.2385039427492,-0.583187973039686,NA,NA,NA,NA
"67","ABCD_1778",54.8665364583333,21.9050349359809,77.5478863497354,9.31048375273914,-0.429345145914177,0.0339261204728706,0.0305659916656038,0.194444444444444,0.25
"68","ABCD_1781",33.5703125,20.7282049005618,99.9813157684935,12.8743532428505,-0.236509360001518,NA,NA,NA,NA
"69","ABCD_1782",27.50708007812,16.0060119628892,76.9398259701933,10.5283724554647,-0.26431282117096,0.0339261204728706,0.0347621062592119,0.138888888888889,0.25
"70","ABCD_1783",44.4677734375,10.7206247250204,74.2848940582936,9.75424100887125,-0.611489911577067,0.0211892990699381,0.0300554204867807,0.194444444444444,NA
"71","ABCD_1784",11.5799260139429,10.7744162423286,61.7287270228052,9.41042059212421,-0.0360337048784497,0.0280287236002435,0.0330885223696458,0.138888888888889,0.5
"72","ABCD_1785",NA,NA,NA,NA,NA,0.0314084642516241,0.0347621062592119,0.222222222222222,1
"73","ABCD_1786",NA,NA,NA,NA,NA,0.0314084642516241,0.0347621062592119,0.166666666666667,1
"74","ABCD_1787",56.5960693359312,10.3165265719043,77.1281309127785,9.68637078537163,-0.691641717618782,0.0314084642516241,0.0339261204728706,0.111111111111111,0.75
"75","ABCD_1788",29.5182661576705,17.773728143601,98.4071443518813,11.333523064074,-0.248340933546838,0.0280287236002435,0.0314084642516241,0.194444444444444,1
"76","ABCD_1790",19.1396689415012,7.54532076418467,54.4521936878318,8.14745313079922,-0.434489512838227,0.0322493057183553,0.0347621062592119,0.166666666666667,0.75
"77","ABCD_1791",NA,NA,NA,NA,NA,0.0271796627591255,0.0159881053841304,0.25,0.75
"78","ABCD_1792",27.5228604403409,17.8360061645595,82.0217909636328,10.478738119501,-0.213560324603324,0.0322493057183553,0.0347621062592119,0.194444444444444,0.75
"79","ABCD_1793",NA,NA,NA,NA,NA,0.024622474908332,0.0280287236002435,0.0555555555555556,0
"80","ABCD_1794",19.4373276654324,9.688098239045,64.0390735641103,9.19453426895363,-0.334732596129646,0.0322493057183553,0.0322493057183553,0.138888888888889,0.75
"81","ABCD_1795",48.0544704861111,15.5055162824574,87.9799299673642,11.7758067255948,-0.512098190362584,0.0305659916656038,0.0339261204728706,0.222222222222222,0.75
"82","ABCD_1797",NA,NA,NA,NA,NA,0.0297218816196885,0.0339261204728706,0.222222222222222,0.75
"83","ABCD_1798",NA,NA,NA,NA,NA,0.0330885223696458,0.0347621062592119,0.111111111111111,0.5
"84","ABCD_1799",NA,NA,NA,NA,NA,0.024622474908332,0.0339261204728706,0.25,1
